product_id,seller_id,product_name,category,subcategory,brand,sku,price,description,image_url,is_available,created_at,updated_at
1,1,Samsung Galaxy S24 Ultra,Electronics,Smartphones,Samsung,SAM-S24U-256,109999.00,Latest Samsung flagship with 200MP camera and S-Pen support. 12GB RAM 256GB storage.,https://images.example.com/products/sam-s24u.jpg,1,1704067200,1748736000
2,1,Apple iPhone 15 Pro,Electronics,Smartphones,Apple,APL-IP15P-128,134900.00,Apple iPhone 15 Pro with A17 Pro chip titanium design and 48MP main camera.,https://images.example.com/products/iphone15pro.jpg,1,1704067200,1748736000
3,1,OnePlus 12,Electronics,Smartphones,OnePlus,OP-12-256,64999.00,OnePlus 12 with Snapdragon 8 Gen 3 100W charging and Hasselblad cameras.,https://images.example.com/products/oneplus12.jpg,1,1704153600,1748649600
4,1,Sony WH-1000XM5,Electronics,Headphones,Sony,SONY-WH1000XM5,29990.00,Industry-leading noise cancelling wireless headphones with 30-hour battery life.,https://images.example.com/products/sony-xm5.jpg,1,1704240000,1748563200
5,1,Dell XPS 15 Laptop,Electronics,Laptops,Dell,DELL-XPS15-I7,149999.00,Dell XPS 15 with Intel Core i7 16GB RAM 512GB SSD and 4K OLED display.,https://images.example.com/products/dell-xps15.jpg,1,1704326400,1748476800
6,4,Logitech MX Master 3S,Electronics,Peripherals,Logitech,LOG-MXM3S,9995.00,Advanced wireless mouse with 8K DPI sensor quiet clicks and multi-device support.,https://images.example.com/products/mx-master3s.jpg,1,1704412800,1748390400
7,4,Keychron K2 Keyboard,Electronics,Peripherals,Keychron,KEY-K2-RGB,8999.00,Compact wireless mechanical keyboard with RGB backlight compatible with Mac and Windows.,https://images.example.com/products/keychron-k2.jpg,1,1704499200,1748304000
8,4,Samsung 27-inch 4K Monitor,Electronics,Monitors,Samsung,SAM-LU27B2K,34999.00,27-inch IPS 4K UHD monitor with USB-C 90W power delivery and HDR400.,https://images.example.com/products/samsung-4k-monitor.jpg,1,1704585600,1748217600
9,2,Levi's 511 Slim Fit Jeans,Clothing,Jeans,Levi's,LEV-511-32-32,4999.00,Classic slim fit jeans in stretch denim comfortable for all-day wear.,https://images.example.com/products/levis-511.jpg,1,1704672000,1748131200
10,2,Nike Air Max 270,Clothing,Footwear,Nike,NIKE-AM270-10,12995.00,Nike Air Max 270 running shoes with large air unit for maximum cushioning.,https://images.example.com/products/nike-am270.jpg,1,1704758400,1748044800
