seller_id,seller_name,contact_email,phone,city,country,rating,total_reviews,joined_at,is_active
1,TechMart India,techmart@sellers.com,+918012345678,Mumbai,IN,4.7,3240,1672531200,1
2,FashionHub,fashionhub@sellers.com,+918023456789,Delhi,IN,4.5,1870,1672617600,1
3,BookBazaar,bookbazaar@sellers.com,+918034567890,Bangalore,IN,4.8,5120,1672704000,1
4,GadgetWorld,gadgetworld@sellers.com,+918045678901,Hyderabad,IN,4.3,920,1672790400,1
5,HomeDecorPlus,homedecorplus@sellers.com,+918056789012,Chennai,IN,4.6,2100,1672876800,1
6,SportZone,sportzone@sellers.com,+918067890123,Pune,IN,4.4,1450,1672963200,1
7,KitchenKing,kitchenking@sellers.com,+918078901234,Ahmedabad,IN,4.9,6780,1673049600,1
8,BabyBliss,babybliss@sellers.com,+918089012345,Jaipur,IN,4.7,2340,1673136000,1
9,AutoAccessories,autoacc@sellers.com,+918090123456,Kolkata,IN,4.2,780,1673222400,1
10,OrganicFoods,organicfoods@sellers.com,+918001234567,Coimbatore,IN,4.8,4560,1673308800,1
